source_type,source_path,filename,extension,assigned_majors,word_count,preview_top_words
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 140,.csv-row,Computer Science,8,mobile; computing
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 141,.csv-row,Computer Science,8,vehicular; networks
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 142,.csv-row,Computer Science,8,vehicular; networks
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 143,.csv-row,Computer Science; Electrical Engineering,8,video; communication
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 144,.csv-row,Computer Science; Electrical Engineering,8,video; communication
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 145,.csv-row,Computer Science,12,object; oriented; software; design
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 146,.csv-row,Computer Science,12,object; oriented; software; design
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 147,.csv-row,Computer Science,12,component; programming; net
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 148,.csv-row,Computer Science,12,component; programming; net
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 149,.csv-row,Computer Science,10,semantic; web; programming
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 150,.csv-row,Computer Science,10,semantic; web; programming
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 151,.csv-row,Computer Science,8,concurrency; modeling
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 152,.csv-row,Computer Science,8,concurrency; modeling
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 153,.csv-row,Computer Science; Electrical Engineering,14,new; directions; database; systems
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 154,.csv-row,Computer Science; Electrical Engineering,14,new; directions; database; systems
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 155,.csv-row,Computer Science,10,visual; information; retrieval
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 156,.csv-row,Computer Science,10,visual; information; retrieval
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 157,.csv-row,Computer Science,4,
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 158,.csv-row,Computer Science; Electrical Engineering,16,theory; implementation; database; systems
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 159,.csv-row,Computer Science; Electrical Engineering,16,theory; implementation; database; systems
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 160,.csv-row,Computer Science,15,advanced; internet; distinguished; guest; speaker
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 161,.csv-row,Computer Science,17,advanced; internet; distinguished; guest; speaker
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 162,.csv-row,Computer Science,17,advanced; internet; distinguished; guest; speaker
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 163,.csv-row,Computer Science,17,advanced; internet; distinguished; guest; speaker
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 164,.csv-row,Computer Science,7,software; management
