course_code,prefix,number,level,title_or_context,source_page,linked_file_or_page,raw_text
CDA 3331C,CDA,3331C,undergraduate,Introduction to Microprocessor System,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cda3331c-intro-microprocessor-system.pdf,CDA 3331C Introduction to Microprocessor System
CDA 4102,CDA,4102,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-engineering/program-summary-bsce,,CDA 4102
CDA 4102,CDA,4102,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-engineering/program-summary-bsce/index.php,,CDA 4102
CDA 4102,CDA,4102,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science/program-sumary-bscs/,,CDA 4102
CDA 4102,CDA,4102,undergraduate,Structured Computer Architecture,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,,CDA 4102 Structured Computer Architecture
CDA 4102,CDA,4102,undergraduate,Structured Computer Architecture,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cda4102structured-computer-architecture.pdf,CDA 4102 Structured Computer Architecture
CDA 4204,CDA,4204,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science/program-sumary-bscs/,,CDA 4204
CDA 4204,CDA,4204,undergraduate,CAD-Based Computer Design,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,,CDA 4204 CAD-Based Computer Design
CDA 4204,CDA,4204,undergraduate,CAD-Based Computer Design,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cda4204cad-based-computer-design.pdf,CDA 4204 CAD-Based Computer Design
CDA 4210,CDA,4210,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-engineering/program-summary-bsce,,CDA 4210
CDA 4210,CDA,4210,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-engineering/program-summary-bsce/index.php,,CDA 4210
CDA 4210,CDA,4210,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science/program-sumary-bscs/,,CDA 4210
CDA 4210,CDA,4210,undergraduate,Introduction to VLSI Design,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,,CDA 4210 Introduction to VLSI Design
CDA 4210,CDA,4210,undergraduate,Introduction to VLSI Design,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cda4210intro-vlsi-design.pdf,CDA 4210 Introduction to VLSI Design
CDA 4240C,CDA,4240C,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-engineering/program-summary-bsce,,CDA 4240C
CDA 4240C,CDA,4240C,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-engineering/program-summary-bsce/index.php,,CDA 4240C
CDA 4323,CDA,4323,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-engineering/program-summary-bsce,,CDA 4323
