query_id,doc_id,rank,score
q03,pdf_0281_artificial-intelligence-certificate-program-application-jan6::chunk_001,10,0.6093
q03,pdf_0513_professional-ai-certificate-program-application::chunk_001,11,0.6075
q03,pdf_0409_data-science-certificate-program-application::chunk_001,12,0.6063
q03,pdf_0341_certificate-artificial--intelligence-program-application::chunk_001,13,0.6052
q03,pdf_0343_certificate-artificial-intelligence-program-worksheet::chunk_001,14,0.6036
q03,pdf_0278_artificial-inteligence-certificate-worksheet-jan6::chunk_001,15,0.6034
q03,pdf_0342_certificate-artificial-intelligence--program-worksheet::chunk_001,16,0.6004
q03,pdf_0502_ms-in-information-technology-management-computer-science-dat::chunk_002,17,0.5988
q03,pdf_0493_ms-egit-csda-worksheet::chunk_001,18,0.5984
q03,pdf_0502_ms-in-information-technology-management-computer-science-dat::chunk_001,19,0.595
q03,pdf_0488_ms--dsa--worksheet::chunk_002,20,0.5948
q03,course_0039_CAP_6780::chunk_001,21,0.5937
q03,pdf_0488_ms--dsa--worksheet::chunk_001,22,0.5926
q03,pdf_0410_data-science-certificate-worksheet::chunk_001,23,0.5919
q03,course_0008_CAP_5768::chunk_001,24,0.5896
q03,pdf_0284_bs-phd-computer-engineering-worksheet-12.09.2025::chunk_002,25,0.5872
q03,course_0025_CAP_6635::chunk_001,26,0.5872
q03,pdf_0406_cybersecurity-certificate-worksheet-2023::chunk_001,27,0.5862
q03,pdf_0316_cap6778adv-data-mining-machine-learning::chunk_001,28,0.5851
q03,pdf_0285_bs-phd-computer-science-worksheet12.09.2025::chunk_002,29,0.5842
q03,course_0012_CAP_6315::chunk_001,30,0.584
q03,pdf_0277_4-plus-1-itm-csda::chunk_001,31,0.5839
q03,pdf_0510_newcertificate-artificial-intelligence-worksheet::chunk_001,32,0.5827
q03,pdf_0305_cap6315social-networks-big-data-analytics::chunk_001,33,0.5823
q03,pdf_0405_cybersecurity-certificate-program-application::chunk_001,34,0.5803
q03,pdf_0280_artificial-intelligence-cert-program-worksheet::chunk_001,35,0.5794
q03,course_0020_CAP_6619::chunk_001,36,0.5783
q03,pdf_0517_professional-certificate-energy-resilience-application::chunk_001,37,0.5772
q03,pdf_0509_msto-phd-computer-engineering-worksheet12.09.2025::chunk_002,38,0.5771
q03,pdf_0504_ms-phd-computer-science-worksheet12.09.2025::chunk_002,39,0.5752
q03,pdf_0346_certificate-cyber-security-application::chunk_001,40,0.5751
q03,course_0030_CAP_6673::chunk_001,41,0.5749
q03,pdf_0404_cyber-security-cert-program-worksheet::chunk_001,42,0.5717
q03,pdf_0353_cis5371practical-aspects-modern-cryptography::chunk_001,43,0.5716
q03,pdf_0518_professional-certificate-energy-resilience-worksheet::chunk_001,44,0.5692
q03,pdf_0279_artificial-inteligence-minor-worksheet-jan6::chunk_001,45,0.5686
q03,pdf_0345_certificate-biomedical-engineering-program-application::chunk_001,46,0.565
q03,pdf_0521_professional-ms-itm-adv-info-tech-concentration-worksheet::chunk_001,47,0.5647
q03,course_0038_CAP_6778::chunk_001,48,0.5639
q03,pdf_0347_certificate-energy-resilience-program-application::chunk_001,49,0.5637
q03,pdf_0493_ms-egit-csda-worksheet::chunk_002,50,0.562
q03,pdf_0522_professional-ms-itm-csda-concentration-worksheet::chunk_001,51,0.5618
q03,pdf_0350_cgs1571computer-app2::chunk_001,52,0.5612
q03,pdf_0492_ms-egit-ait-worksheet::chunk_002,53,0.5606
q03,pdf_0307_cap6546Data-mining-for-bioinformatics::chunk_001,54,0.56
q03,course_0014_CAP_6546::chunk_001,55,0.5596
q03,pdf_0287_bs-phd-csc-data-science-anly-concn12.09.2025::chunk_001,56,0.5595
q03,course_0059_CIS_5371::chunk_001,57,0.5586
q03,pdf_0408_cybersecurity-minor-worksheet::chunk_001,58,0.5569
q03,pdf_0505_ms-phd-csc-data-science-anly-concn12.09.2025::chunk_001,59,0.556
q03,pdf_0519_professional-ms-ai-worksheet::chunk_001,60,0.5554
q03,pdf_0276_4-plus-1-itm-ait::chunk_001,61,0.5552
q03,pdf_0282_artificial-intelligence-minor-program-application-jan6::chunk_001,62,0.555
q03,pdf_0348_certificate-energy-resilience-program-worksheet::chunk_001,63,0.5529
q03,pdf_0492_ms-egit-ait-worksheet::chunk_001,64,0.5527
q03,pdf_0501_ms-in-information-technology-management-advance-information-::chunk_002,65,0.5523
q03,pdf_0287_bs-phd-csc-data-science-anly-concn12.09.2025::chunk_002,66,0.5522
q03,course_0011_CAP_6315::chunk_001,67,0.551
q03,pdf_0291_bsms-joint-mechanical-engineering-and-msai-audit-form::chunk_001,68,0.5506
q03,course_0007_CAP_5768::chunk_001,69,0.5504
q03,pdf_0349_cgs1570computer-apps1::chunk_001,70,0.5502
q03,course_0018_CAP_6619::chunk_001,71,0.5498
q03,pdf_0494_ms-egit-csec-worksheet::chunk_001,72,0.5494
q03,pdf_0494_ms-egit-csec-worksheet::chunk_002,73,0.5488
q03,pdf_0313_cap6673data-mining-machine-learning::chunk_001,74,0.5486
q03,pdf_0289_bs-to-phd-electrical-engineering-worksheet12.09.2025::chunk_002,75,0.5482
q04,pdf_0504_ms-phd-computer-science-worksheet12.09.2025::chunk_002,1,0.7276
q04,pdf_0520_professional-ms-cs-worksheet::chunk_001,2,0.7266
q04,pdf_0497_ms-in-computer-science-program-worksheet-6-2025::chunk_002,3,0.7188
q04,pdf_0490_ms-computer-science-with-minor-in-business-worksheet::chunk_001,4,0.7176
q04,pdf_0285_bs-phd-computer-science-worksheet12.09.2025::chunk_002,5,0.7091
q04,pdf_0491_ms-cse-worksheet-new::chunk_001,6,0.7082
q04,pdf_0497_ms-in-computer-science-program-worksheet-6-2025::chunk_001,7,0.7067
q04,pdf_0409_data-science-certificate-program-application::chunk_001,8,0.7066
q04,pdf_0491_ms-cse-worksheet-new::chunk_002,9,0.701
q04,pdf_0496_ms-in-computer-engineering-program-sheet-6-2025::chunk_002,10,0.6922
q04,pdf_0502_ms-in-information-technology-management-computer-science-dat::chunk_002,11,0.6895
q04,pdf_0366_computer-science-minor-program-application::chunk_001,12,0.6886
q04,pdf_0410_data-science-certificate-worksheet::chunk_001,13,0.6875
