top_k,bm25_k1,bm25_b,rrf_k,bm25_weight,dense_weight,ndcg_k,ndcg,map,combined_score
100,1.5,0.9,60,0.5,1.5,30,0.4663639460338097,0.33961305908937583,0.4029885025615928
100,1.5,0.9,90,0.5,1.5,30,0.4652489216230669,0.33985897780745516,0.40255394971526104
100,1.5,0.9,10,0.5,1.5,30,0.4670894030281583,0.3377136562065391,0.4024015296173487
100,1.8,0.55,30,0.5,1.5,30,0.4676575741491904,0.33605988885467547,0.40185873150193296
100,2.2,0.55,30,0.5,1.5,30,0.46783635611889623,0.3354795142335232,0.40165793517620973
100,1.2,0.9,30,0.5,1.5,30,0.4645018243276772,0.3387896176735729,0.40164572100062507
100,2.2,0.55,10,0.5,1.5,30,0.4657257952033103,0.3375640189839581,0.4016449070936342
100,0.8,0.9,10,0.5,1.5,30,0.46569158306354097,0.3365235351447286,0.40110755910413476
100,1.5,0.9,30,0.5,1.5,30,0.4640961845533741,0.3380156357905911,0.4010559101719826
100,2.2,0.9,10,0.5,0.75,30,0.4642901966824945,0.33759856057299426,0.40094437862774435
100,2.2,0.9,10,1.0,1.5,30,0.4642901966824945,0.33759856057299426,0.40094437862774435
100,1.2,0.9,10,0.5,1.5,30,0.4642797253844673,0.3375076140453178,0.4008936697148926
100,0.8,0.9,60,0.5,1.5,30,0.4629094598151514,0.33860774563689944,0.4007586027260254
100,0.8,0.75,10,0.5,1.5,30,0.46538300524414256,0.33539236009079937,0.40038768266747093
100,2.2,0.9,10,0.5,1.0,30,0.46343445781581327,0.3368481881862077,0.40014132300101046
100,0.8,0.75,60,0.5,1.5,30,0.46623349780505335,0.3340137122962794,0.40012360505066635
100,1.2,0.75,60,0.5,1.5,30,0.4638808922325913,0.33620859521912944,0.4000447437258604
100,0.8,0.9,30,0.5,1.5,30,0.4624850049480395,0.3375538205693595,0.4000194127586995
100,1.2,0.75,10,0.5,1.5,30,0.463512076526571,0.33652650621596136,0.4000192913712662
100,1.2,0.75,90,0.5,1.5,30,0.4636618284626707,0.33628628573175234,0.3999740570972115
100,1.5,0.55,60,0.5,1.5,30,0.4666711847821153,0.33298032385398224,0.3998257543180488
100,0.8,0.9,90,0.5,1.5,30,0.462211034943613,0.33740814250882584,0.3998095887262194
100,2.2,0.9,30,0.5,1.0,30,0.463702678236196,0.3357166407187854,0.3997096594774907
100,1.8,0.75,90,0.5,1.0,30,0.4660761764336759,0.33276569786898597,0.3994209371513309
100,0.8,0.75,90,0.5,1.5,30,0.4642239935087544,0.3339896630818832,0.3991068282953188
100,2.2,0.9,90,0.5,1.0,30,0.46209061427250514,0.33610064285121327,0.3990956285618592
100,1.5,0.9,60,0.5,1.0,30,0.46357986030389214,0.3339790087058193,0.39877943450485576
100,1.2,0.75,30,0.5,1.5,30,0.4607491690110187,0.3367524641005884,0.3987508165558036
100,1.5,0.75,90,0.5,1.0,30,0.46474095272542926,0.33266482478009174,0.3987028887527605
100,1.5,0.55,90,0.5,1.5,30,0.46576965621551647,0.3316358385960414,0.39870274740577893
50,2.2,0.9,30,0.5,1.5,30,0.46530749543277555,0.3320853521004061,0.3986964237665908
100,2.2,0.9,60,0.5,1.0,30,0.4612756739398014,0.3360910272451312,0.3986833505924663
100,1.8,0.9,90,0.5,1.0,30,0.46260247053550085,0.3346945197752037,0.3986484951553523
100,2.2,0.9,30,0.5,0.75,30,0.46054429221438903,0.3365597312896615,0.39855201175202526
100,2.2,0.9,30,1.0,1.5,30,0.46054429221438903,0.3365597312896615,0.39855201175202526
100,1.2,0.55,60,0.5,1.5,30,0.4646221439032464,0.33228298498536335,0.3984525644443049
50,2.2,0.9,10,0.5,1.5,30,0.4653662065162188,0.33135702360470265,0.39836161506046075
100,1.8,0.9,60,0.5,1.0,30,0.4622782179493846,0.33430017234922654,0.3982891951493056
100,1.5,0.9,90,0.5,1.0,30,0.46218075323987157,0.33438326817707803,0.3982820107084748
100,1.5,0.75,60,0.5,1.0,30,0.4636290139590355,0.3328052439416331,0.3982171289503343
100,1.8,0.9,30,0.5,1.0,30,0.4621332310766833,0.3342564809672624,0.39819485602197285
100,0.8,0.55,10,0.5,1.5,30,0.461104525636041,0.3351023998979537,0.3981034627669974
100,1.8,0.9,10,0.5,1.0,30,0.4613465088917028,0.33416620215608184,0.3977563555238923
100,1.8,0.9,10,0.5,0.75,30,0.4596387072034397,0.3357874091122124,0.39771305815782604
100,1.8,0.9,10,1.0,1.5,30,0.4596387072034397,0.3357874091122124,0.39771305815782604
100,1.2,0.55,10,0.5,1.5,30,0.4606482337331392,0.3346987861535077,0.3976735099433234
100,1.5,0.55,30,0.5,1.5,30,0.46203609535914175,0.33324217630264696,0.3976391358308944
100,1.5,0.9,30,0.5,1.0,30,0.4616189112748416,0.33351469872940614,0.3975668050021239
100,1.2,0.9,90,0.5,1.0,30,0.46167590248207835,0.3334237203994082,0.3975498114407433
100,1.5,0.35,10,0.5,1.5,30,0.46319402728698134,0.3315040134937205,0.3973490203903509
100,1.5,0.75,30,0.5,1.0,30,0.46255465859793066,0.3318258999401723,0.3971902792690515
100,2.2,0.9,90,0.5,0.75,30,0.46045142422097757,0.33374956108111037,0.39710049265104397
100,2.2,0.9,90,1.0,1.5,30,0.46045142422097757,0.33374956108111037,0.39710049265104397
100,1.5,0.55,10,0.5,1.5,30,0.45992056741907916,0.33425885201964295,0.3970897097193611
100,2.2,0.9,60,0.5,0.75,30,0.4599814095634578,0.3341879943601583,0.397084701961808
100,2.2,0.9,60,1.0,1.5,30,0.4599814095634578,0.3341879943601583,0.397084701961808
50,2.2,0.9,60,0.5,1.5,30,0.46245786428303515,0.33165795318194063,0.3970579087324879
100,1.5,0.9,10,0.5,1.0,30,0.4606422740975478,0.3333813498523822,0.39701181197496505
100,1.8,0.9,30,0.5,0.75,30,0.45864584476631837,0.3351564436068286,0.3969011441865735
100,1.8,0.9,30,1.0,1.5,30,0.45864584476631837,0.3351564436068286,0.3969011441865735
100,1.5,0.9,10,0.5,0.75,30,0.4592675189027278,0.3344039843531669,0.3968357516279474
100,1.5,0.9,10,1.0,1.5,30,0.4592675189027278,0.3344039843531669,0.3968357516279474
100,2.2,0.75,10,0.5,0.75,30,0.4592923154738028,0.33422038930334164,0.3967563523885722
100,2.2,0.75,10,1.0,1.5,30,0.4592923154738028,0.33422038930334164,0.3967563523885722
100,1.2,0.9,30,0.5,1.0,30,0.4600631401906802,0.33327241701726257,0.3966677786039714
100,1.8,0.75,60,0.5,1.0,30,0.4605689257489442,0.3324384178914137,0.396503671820179
100,1.2,0.55,90,0.5,1.5,30,0.46158042945040056,0.3313537807711618,0.3964671051107812
100,1.8,0.35,10,0.5,1.5,30,0.462423713994511,0.33035524838167174,0.39638948118809136
100,2.2,0.55,30,0.5,1.0,30,0.46307836787762763,0.32950186882832816,0.3962901183529779
100,1.2,0.9,10,0.5,1.0,30,0.45897240006684636,0.3335757028273773,0.3962740514471118
50,1.8,0.9,10,0.5,1.5,30,0.46302167221464835,0.32931505903903335,0.3961683656268409
100,2.2,0.75,90,0.5,1.0,30,0.459452274595781,0.33274198753661693,0.3960971310661989
100,1.8,0.75,10,0.5,1.0,30,0.45990564955945107,0.33224186493038793,0.3960737572449195
