method,chunk_size_words,chunk_overlap_words,top_k,bm25_k1,bm25_b,rrf_k,bm25_weight,dense_weight,rerank_top_n,reranker_model,ndcg_k,ndcg,map,combined_score,num_chunks,num_qrels
rrf,700,100,100,1.8,1.0,90,0.25,2.5,0,,30,0.49230088148520995,0.3507842740127009,0.4215425777489554,582,182
rrf,700,150,200,2.6,0.9,150,0.25,1.5,0,,30,0.4900630636750106,0.35298685394897117,0.4215249588119909,586,182
rrf,700,150,200,2.6,0.9,150,0.5,3.0,0,,30,0.4900630636750106,0.35298685394897117,0.4215249588119909,586,182
rrf,700,100,100,1.8,1.0,150,0.25,2.0,0,,30,0.4914328077299393,0.3515527371353348,0.42149277243263705,582,182
rrf,700,100,150,2.6,1.0,120,0.25,2.5,0,,30,0.49181759206342646,0.35105388932290277,0.4214357406931646,582,182
rrf,700,150,200,1.8,0.9,150,0.25,1.5,0,,30,0.49005381570760703,0.3528068365049818,0.4214303261062944,586,182
rrf,700,150,200,1.8,0.9,150,0.5,3.0,0,,30,0.49005381570760703,0.3528068365049818,0.4214303261062944,586,182
rrf,700,100,100,2.6,1.0,90,0.25,2.0,0,,30,0.4923427113373697,0.35050046323395406,0.42142158728566187,582,182
rrf,700,100,150,2.6,1.0,150,0.25,2.5,0,,30,0.49181554856641513,0.3510192670954221,0.42141740783091863,582,182
rrf,700,100,150,1.8,1.0,150,0.25,3.0,0,,30,0.49180656791249877,0.3510145413308748,0.42141055462168675,582,182
rrf,700,100,100,1.8,0.9,120,0.25,2.0,0,,30,0.4925602829366767,0.3501768727175167,0.4213685778270967,582,182
rrf,700,100,100,2.6,1.0,150,0.25,2.0,0,,30,0.49148005040083464,0.3512450565416719,0.4213625534712533,582,182
rrf,700,100,150,2.6,1.0,150,0.25,3.0,0,,30,0.49178409761244374,0.35093933489154755,0.42136171625199564,582,182
rrf,700,100,100,2.2,1.0,90,0.25,1.5,0,,30,0.4911518603782672,0.351547394403597,0.42134962739093207,582,182
rrf,700,100,100,2.2,1.0,90,0.5,3.0,0,,30,0.4911518603782672,0.351547394403597,0.42134962739093207,582,182
