method,chunk_size_words,chunk_overlap_words,top_k,bm25_k1,bm25_b,rrf_k,bm25_weight,dense_weight,rerank_top_n,reranker_model,ndcg_k,ndcg,map,combined_score,num_chunks,num_qrels
rrf,700,100,150,2.2,1.0,180,0.25,2.0,0,,30,0.4894768731020476,0.35200170802967146,0.42073929056585957,582,182
rrf,700,150,100,2.2,1.0,180,0.5,2.0,0,,30,0.49278983047461095,0.3485877553013085,0.4206887928879597,586,182
rrf,700,150,100,2.2,1.0,150,0.25,2.5,0,,30,0.49106059212868597,0.350286950860999,0.4206737714948425,586,182
rrf,700,150,150,2.2,1.0,120,0.5,3.0,0,,30,0.4893027555140588,0.35202996616913873,0.42066636084159875,586,182
rrf,750,175,100,2.2,1.0,180,0.25,2.5,0,,30,0.4909106044754462,0.3503537876191026,0.4206321960472744,581,181
rrf,700,150,100,2.2,1.0,180,0.25,2.0,0,,30,0.49059282971500556,0.3506219449406159,0.4206073873278107,586,182
rrf,750,175,100,2.2,1.0,180,0.5,3.0,0,,30,0.4893397916524547,0.35184899766987093,0.42059439466116283,581,181
rrf,750,150,100,2.2,1.0,180,0.25,2.5,0,,30,0.4905584130173769,0.3506085041034952,0.42058345856043605,579,181
rrf,750,75,100,2.2,1.0,120,0.25,2.0,0,,30,0.4897189590845275,0.35125582131618005,0.42048739020035375,577,181
rrf,750,175,100,2.2,1.0,150,0.25,2.0,0,,30,0.49068960383759774,0.35019768611282576,0.42044364497521175,581,181
rrf,750,175,100,2.2,1.0,180,0.5,2.5,0,,30,0.49011523824865344,0.3507024481715259,0.42040884321008964,581,181
rrf,650,100,100,2.2,1.0,180,0.25,2.0,0,,30,0.49155337394762066,0.34924347867267,0.42039842631014535,589,182
rrf,650,100,100,2.2,1.0,150,0.25,2.5,0,,30,0.4920508391505125,0.348708130358831,0.4203794847546718,589,182
rrf,700,150,150,2.2,1.0,150,0.25,2.5,0,,30,0.4891463050290075,0.35153801919957134,0.42034216211428943,586,182
rrf,750,75,100,2.2,1.0,150,0.25,2.5,0,,30,0.48973536460847233,0.35094827893264796,0.4203418217705601,577,181
rrf,750,175,100,2.2,1.0,150,0.5,3.0,0,,30,0.48907720729995546,0.3515956504891363,0.4203364288945459,581,181
rrf,700,150,150,2.2,1.0,120,0.25,2.0,0,,30,0.4889846088477917,0.3516744101972828,0.4203295095225372,586,182
rrf,750,150,150,2.2,1.0,180,0.25,2.0,0,,30,0.48799213760560783,0.35266149641061345,0.42032681700811064,579,181
rrf,650,100,100,2.2,1.0,180,0.25,2.5,0,,30,0.4918246670337623,0.34877558496309796,0.42030012599843014,589,182
rrf,700,125,100,2.2,1.0,120,0.25,2.5,0,,30,0.49129667718295905,0.34928131490174164,0.42028899604235037,584,182
rrf,700,125,100,2.2,1.0,180,0.25,2.5,0,,30,0.4910604652025925,0.349516491932612,0.4202884785676022,584,182
rrf,750,75,100,2.2,1.0,150,0.25,2.0,0,,30,0.4892298988747047,0.3513022277664445,0.4202660633205746,577,181
rrf,650,100,150,2.2,1.0,180,0.25,2.0,0,,30,0.491118887559766,0.3493584477501405,0.42023866765495327,589,182
rrf,700,125,150,2.2,1.0,180,0.25,2.0,0,,30,0.48969320673559835,0.3507567582030205,0.4202249824693094,584,182
rrf,650,100,150,2.2,1.0,180,0.25,2.5,0,,30,0.4915230386605306,0.3489173116954198,0.42022017517797516,589,182
rrf,750,175,100,2.2,1.0,150,0.25,2.5,0,,30,0.49066352636557775,0.34967588881337525,0.42016970758947647,581,181
rrf,750,150,150,2.2,1.0,180,0.25,3.0,0,,30,0.4891548653281355,0.3511717146476897,0.42016328998791264,579,181
rrf,750,100,100,2.2,1.0,150,0.5,2.0,0,,30,0.4908663214645002,0.34937492812448967,0.42012062479449497,578,181
rrf,750,75,100,2.2,1.0,180,0.5,2.5,0,,30,0.48864068682765355,0.35155060984305314,0.42009564833535334,577,181
rrf,700,125,100,2.2,1.0,150,0.25,3.0,0,,30,0.49071560935507536,0.3494707276803512,0.4200931685177133,584,182
rrf,650,100,100,2.2,1.0,150,0.25,2.0,0,,30,0.4912676121361522,0.3489146274131088,0.42009111977463054,589,182
rrf,700,125,100,2.2,1.0,150,0.25,2.5,0,,30,0.49091593349567203,0.34923313329153854,0.4200745333936053,584,182
rrf,750,150,100,2.2,1.0,180,0.5,2.0,0,,30,0.4911861881632945,0.34893739743681157,0.42006179280005307,579,181
rrf,750,150,150,2.2,1.0,150,0.25,2.0,0,,30,0.4879039498706759,0.3521998500627925,0.4200518999667342,579,181
rrf,750,100,100,2.2,1.0,180,0.25,2.5,0,,30,0.49082881222666147,0.3492326028255697,0.4200307075261156,578,181
rrf,650,100,150,2.2,1.0,150,0.25,2.0,0,,30,0.49090149100032743,0.34915303346435017,0.42002726223233877,589,182
rrf,750,150,150,2.2,1.0,150,0.25,3.0,0,,30,0.4891671049951035,0.3508204860256082,0.41999379551035587,579,181
rrf,700,125,100,2.2,1.0,120,0.25,2.0,0,,30,0.49085211200292017,0.34905743117914195,0.41995477159103106,584,182
rrf,700,100,100,2.2,1.0,120,0.5,3.0,0,,30,0.4890148055316999,0.3508864301166879,0.4199506178241939,582,182
rrf,750,175,150,2.2,1.0,180,0.25,3.0,0,,30,0.4907674787833885,0.3490639711470395,0.419915724965214,581,181
rrf,750,100,100,2.2,1.0,180,0.25,2.0,0,,30,0.48932377074777983,0.35049215376382487,0.41990796225580235,578,181
rrf,700,100,100,2.2,1.0,120,0.25,3.0,0,,30,0.4885197977925254,0.3512812478758783,0.4199005228342019,582,182
rrf,700,100,150,2.2,1.0,150,0.5,2.5,0,,30,0.48783609838038106,0.35196284364349595,0.4198994710119385,582,182
rrf,700,150,100,2.2,1.0,150,0.5,3.0,0,,30,0.4889615392627628,0.35082416191972954,0.41989285059124615,586,182
rrf,750,150,100,2.2,1.0,150,0.5,2.0,0,,30,0.4909201973263032,0.34882388375301604,0.41987204053965965,579,181
rrf,700,175,100,2.2,1.0,180,0.25,2.5,0,,30,0.4889853829535486,0.35067388513743475,0.4198296340454917,587,182
rrf,650,100,100,2.2,1.0,120,0.25,2.0,0,,30,0.49108091577666696,0.348475672376619,0.41977829407664297,589,182
rrf,750,175,100,2.2,1.0,120,0.25,2.5,0,,30,0.49042307280070885,0.3491261477160868,0.4197746102583978,581,181
rrf,750,100,100,2.2,1.0,150,0.25,2.0,0,,30,0.48926301384237325,0.35027121665950073,0.419767115250937,578,181
rrf,750,175,150,2.2,1.0,150,0.25,3.0,0,,30,0.4906401858574772,0.3488642680035551,0.41975222693051617,581,181
rrf,750,75,100,2.2,1.0,150,0.5,2.5,0,,30,0.48841745646109486,0.35099524553540246,0.41970635099824866,577,181
rrf,700,100,150,2.2,1.0,180,0.5,2.0,0,,30,0.48818140820968703,0.3512068110158069,0.419694109612747,582,182
rrf,750,100,100,2.2,1.0,120,0.25,2.0,0,,30,0.48954983895911186,0.34983043004228076,0.4196901345006963,578,181
rrf,700,100,150,2.2,1.0,120,0.5,2.5,0,,30,0.4876796311058001,0.35167991742668264,0.41967977426624137,582,182
rrf,700,150,100,2.2,1.0,180,0.5,2.5,0,,30,0.4881247876739029,0.3512051717168406,0.41966497969537175,586,182
rrf,700,125,100,2.2,1.0,180,0.25,2.0,0,,30,0.48947615949257484,0.3497727503648785,0.4196244549287267,584,182
rrf,750,175,100,2.2,1.0,120,0.5,3.0,0,,30,0.4887953501235537,0.35045149373266504,0.41962342192810936,581,181
rrf,650,175,100,2.2,1.0,180,0.5,2.5,0,,30,0.490517445069315,0.34870430280312936,0.4196108739362222,591,182
rrf,700,125,150,2.2,1.0,180,0.25,2.5,0,,30,0.48882727019251965,0.35027131472948037,0.41954929246100003,584,182
rrf,750,150,150,2.2,1.0,180,0.5,2.5,0,,30,0.4864069963535639,0.35268570867330623,0.4195463525134351,579,181
rrf,750,150,100,2.2,1.0,180,0.25,2.0,0,,30,0.48760973472750396,0.3514526472763309,0.41953119100191744,579,181
rrf,750,75,150,2.2,1.0,180,0.25,2.5,0,,30,0.48930598491673566,0.3496856882702026,0.4194958365934691,577,181
