method,chunk_size_words,chunk_overlap_words,top_k,bm25_k1,bm25_b,rrf_k,bm25_weight,dense_weight,rerank_top_n,reranker_model,ndcg_k,ndcg,map,combined_score,num_chunks,num_qrels
rrf_plus_rerank,700,150,200,2.6,0.9,150,0.5,3.0,50,BAAI/bge-reranker-base,30,0.4617371463547094,0.3105999051366153,0.38616852574566235,586,182
rrf_plus_rerank,700,150,200,1.8,0.9,150,0.25,1.5,50,BAAI/bge-reranker-base,30,0.45998760594701604,0.30949781384089453,0.3847427098939553,586,182
rrf_plus_rerank,700,150,200,1.8,0.9,150,0.5,3.0,50,BAAI/bge-reranker-base,30,0.45998760594701604,0.30949781384089453,0.3847427098939553,586,182
rrf_plus_rerank,700,100,100,2.2,1.0,90,0.25,1.5,50,BAAI/bge-reranker-base,30,0.45117416644997393,0.3084485723433755,0.3798113693966747,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,90,0.5,3.0,50,BAAI/bge-reranker-base,30,0.45117416644997393,0.3084485723433755,0.3798113693966747,582,182
rrf_plus_rerank,700,100,150,2.2,1.0,120,0.25,2.5,50,BAAI/bge-reranker-base,30,0.4536845157179451,0.3053571985445905,0.3795208571312678,582,182
rrf_plus_rerank,700,100,150,2.2,1.0,150,0.25,3.0,50,BAAI/bge-reranker-base,30,0.453614390875628,0.30530589343341147,0.37946014215451973,582,182
rrf_plus_rerank,700,100,150,2.6,1.0,150,0.25,3.0,50,BAAI/bge-reranker-base,30,0.453614390875628,0.3052855742427277,0.37944998255917783,582,182
rrf_plus_rerank,700,100,150,2.6,1.0,120,0.25,2.5,50,BAAI/bge-reranker-base,30,0.45352135903496377,0.3051736245421789,0.3793474917885713,582,182
rrf_plus_rerank,700,100,150,1.8,1.0,150,0.25,3.0,50,BAAI/bge-reranker-base,30,0.453614390875628,0.3050603628480875,0.37933737686185776,582,182
rrf_plus_rerank,700,100,150,2.2,1.0,90,0.25,2.0,50,BAAI/bge-reranker-base,30,0.4516227530167164,0.30544793531155634,0.37853534416413637,582,182
rrf_plus_rerank,700,150,150,2.2,1.0,150,0.25,2.0,50,BAAI/bge-reranker-base,30,0.45027827591634095,0.3065396462229441,0.3784089610696425,586,182
rrf_plus_rerank,700,150,200,2.2,1.0,150,0.25,2.0,50,BAAI/bge-reranker-base,30,0.4495271923872305,0.30682746367271607,0.3781773280299733,586,182
rrf_plus_rerank,700,100,150,2.6,1.0,150,0.25,2.5,50,BAAI/bge-reranker-base,30,0.450861505771012,0.30423032716300896,0.3775459164670105,582,182
rrf_plus_rerank,700,100,100,1.8,0.9,90,0.25,1.5,50,BAAI/bge-reranker-base,30,0.44595941604952183,0.30777378948122674,0.3768666027653743,582,182
rrf_plus_rerank,700,100,100,1.8,0.9,90,0.5,3.0,50,BAAI/bge-reranker-base,30,0.44595941604952183,0.30777378948122674,0.3768666027653743,582,182
rrf_plus_rerank,700,100,100,2.6,1.0,150,0.5,2.0,50,BAAI/bge-reranker-base,30,0.44779395697801666,0.3058302082009705,0.3768120825894936,582,182
rrf_plus_rerank,700,100,150,2.2,1.0,150,0.25,2.5,50,BAAI/bge-reranker-base,30,0.44912393524117405,0.3042454476598449,0.3766846914505095,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,150,0.5,2.0,50,BAAI/bge-reranker-base,30,0.4473108230482928,0.3059361964034835,0.37662350972588815,582,182
rrf_plus_rerank,700,100,150,2.2,1.0,150,0.25,2.0,50,BAAI/bge-reranker-base,30,0.44880683785189385,0.30394109961047056,0.37637396873118223,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,120,0.25,2.0,50,BAAI/bge-reranker-base,30,0.4467818564843877,0.3052097732736585,0.3759958148790231,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,150,0.5,2.5,50,BAAI/bge-reranker-base,30,0.4456261213707279,0.30615000381555785,0.3758880625931429,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,120,0.5,2.5,50,BAAI/bge-reranker-base,30,0.4448164435890955,0.30678104324915234,0.3757987434191239,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,90,0.25,2.5,50,BAAI/bge-reranker-base,30,0.4453271099117076,0.3054668639550059,0.37539698693335677,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,90,0.25,2.0,50,BAAI/bge-reranker-base,30,0.44523407807104326,0.3054779001481142,0.37535598910957874,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,150,0.25,3.0,50,BAAI/bge-reranker-base,30,0.4449207875265718,0.30482227876713924,0.3748715331468555,582,182
rrf_plus_rerank,700,100,100,2.6,1.0,90,0.25,2.0,50,BAAI/bge-reranker-base,30,0.44482775568590754,0.30486524078139704,0.3748464982336523,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,150,0.25,2.0,50,BAAI/bge-reranker-base,30,0.4445236046436146,0.30501556948500735,0.37476958706431096,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,120,0.25,2.5,50,BAAI/bge-reranker-base,30,0.44482775568590754,0.30465459454232796,0.37474117511411775,582,182
rrf_plus_rerank,700,100,100,2.6,1.0,150,0.25,3.0,50,BAAI/bge-reranker-base,30,0.4449207875265718,0.3044237882092438,0.37467228786790785,582,182
rrf_plus_rerank,700,100,100,2.6,1.0,150,0.25,2.0,50,BAAI/bge-reranker-base,30,0.4445704392521816,0.30469561878795987,0.37463302902007073,582,182
rrf_plus_rerank,700,100,100,2.6,1.0,150,0.25,2.5,50,BAAI/bge-reranker-base,30,0.4447656435029844,0.3045003941124635,0.3746330188077239,582,182
rrf_plus_rerank,700,100,100,2.6,1.0,120,0.25,2.5,50,BAAI/bge-reranker-base,30,0.44482775568590754,0.3042727428793312,0.3745502492826194,582,182
rrf_plus_rerank,700,100,100,1.8,0.9,120,0.25,2.0,50,BAAI/bge-reranker-base,30,0.4440296112832161,0.30463335411153014,0.37433148269737315,582,182
rrf_plus_rerank,700,150,200,1.8,0.9,120,0.25,1.5,50,BAAI/bge-reranker-base,30,0.44379002559829456,0.3048701527366084,0.3743300891674515,586,182
rrf_plus_rerank,700,150,200,1.8,0.9,120,0.5,3.0,50,BAAI/bge-reranker-base,30,0.44379002559829456,0.3048701527366084,0.3743300891674515,586,182
rrf_plus_rerank,700,100,100,1.8,1.0,150,0.5,2.0,50,BAAI/bge-reranker-base,30,0.44382459167460403,0.30402610280938075,0.3739253472419924,582,182
rrf_plus_rerank,700,100,100,1.8,1.0,150,0.25,3.0,50,BAAI/bge-reranker-base,30,0.44187082686823326,0.3047376872353619,0.3733042570517976,582,182
rrf_plus_rerank,700,100,100,1.8,1.0,150,0.25,2.0,50,BAAI/bge-reranker-base,30,0.4419674929054201,0.3046403401265857,0.3733039165160029,582,182
rrf_plus_rerank,700,100,100,1.8,0.9,150,0.25,2.0,50,BAAI/bge-reranker-base,30,0.4419674929054201,0.30457826281269035,0.3732728778590552,582,182
rrf_plus_rerank,700,100,100,1.8,1.0,90,0.25,2.5,50,BAAI/bge-reranker-base,30,0.44187082686823326,0.30466377111341636,0.3732672989908248,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,150,0.25,2.5,50,BAAI/bge-reranker-base,30,0.4422852900231227,0.30386761817724534,0.37307645410018403,582,182
rrf_plus_rerank,700,100,100,1.8,1.0,120,0.25,2.5,50,BAAI/bge-reranker-base,30,0.44123404319048276,0.3040290831654052,0.372631563177944,582,182
rrf_plus_rerank,700,100,100,1.8,1.0,150,0.25,2.5,50,BAAI/bge-reranker-base,30,0.4397172347155727,0.3034332238222109,0.3715752292688918,582,182
rrf_plus_rerank,700,100,100,1.8,0.9,150,0.25,2.5,50,BAAI/bge-reranker-base,30,0.4395330448219511,0.30330616136272914,0.3714196030923401,582,182
rrf_plus_rerank,700,100,100,1.8,0.9,150,0.5,2.0,50,BAAI/bge-reranker-base,30,0.4385312477806465,0.30356971448475406,0.3710504811327003,582,182
rrf_plus_rerank,700,150,100,2.2,1.0,120,0.25,2.0,50,BAAI/bge-reranker-base,30,0.4347577642959095,0.30176481519560133,0.36826128974575545,586,182
